,Seconds
0,14.040481417
1,2.34580517
2,2.09571
3,15.581578308
4,9.982933288
5,1.162629445
6,15.670889433
7,3.422881203
8,1.944216882
9,5.828239002
10,11.464560402
11,8.154569543
12,2.282431401
13,16.268527711
14,10.786084836
15,4.835995017
16,16.624253587
17,12.913569724
18,2.107890467
19,2.237434395
20,4.908986043
21,3.199358755
22,3.276318069
23,2.931020483
24,11.240802581
25,5.240479187
26,15.671520999
27,2.510621115
28,7.075719142
29,17.395607995
30,14.984810274
31,3.514141225
32,3.236715221
33,6.629522794
34,11.460745225
35,5.055725153
36,8.514426645
37,2.503497012
38,5.274274865
39,7.799369557
40,4.498559873
41,8.868677563
42,2.867847165
43,6.468751735
44,10.856958381
45,4.76980281
46,7.8578813180000004
47,12.561886493
48,6.699901207
49,10.394992974
50,4.24071551
51,3.570554248
52,12.085215023
53,6.166159393
54,7.926966123
55,4.422015127
56,4.573964751
57,12.360565431
58,6.225828158
59,17.682075586
60,5.251873807
61,8.061155004
62,4.382126734
63,16.006681346
64,10.002148236
65,3.913377348
66,4.064993957
67,11.880171693
68,5.856962181
69,3.685453104
70,5.297989299
71,7.751434458
72,17.645580204
73,15.557093691
74,9.506774108
75,3.54648444
76,9.398087962
77,11.537819782
78,3.5193016679999998
79,17.6359155
80,13.512504409
81,5.248228007
82,6.916576473
83,15.235664174
84,2.876761432
85,3.248286341
86,3.53854264
87,7.044983419
88,4.959636012
89,5.782726062
90,13.028085561
91,6.90297301
92,17.769812221
93,14.75607672
94,8.801646279
95,2.811831656
96,4.490372618
97,5.680495501
98,4.465361528
99,17.726358783
